id,name_en,name_ar,description_en,description_ar,category_en,category_ar
6376,Bergamot Fragrance Oil **,Bergamot Fragrance Oil **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5935,Bergamot Givco 104 - Fragrance**,Bergamot Givco 104 - Fragrance**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9377,Bergamot Mint,Bergamot Mint,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6014,Berryflor® (Givaudan),Berryflor® (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8092,Beta Pinene (Natural) **,Beta Pinene (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9463,BHT Crystals,BHT Crystals,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6016,Bicyclononalactone (IFF),Bicyclononalactone (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9568,BioNonanal™,BioNonanal™,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5936,Birch Leaf Givco 166/2,Birch Leaf Givco 166/2,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9567,Birch Tar (Rectified) **,Birch Tar (Rectified) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9566,Birch Tar (Rectified) @ 10% BB **,Birch Tar (Rectified) @ 10% BB **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9344,Bisabolene (Givaudan),Bisabolene (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5937,Black Agar Givco 215/2,Black Agar Givco 215/2,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6271,Black Cherry Fragrance Oil**,Black Cherry Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8352,Black Hemlock (Absolute),خلاصة Black Hemlock () مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6408,Black Pepper-India **,Black Pepper-India **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8582,Black Tea - Natural (Colorless),Black Tea - Natural (Colorless),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8324,Black Tea Fragrance Oil (Premium)**,Black Tea Fragrance Oil (Premium)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6289,Black Tea Fragrance Oil**,Black Tea Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6293,Blackberry Fragrance Oil**,Blackberry Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9307,Blackcurrant Absolute **,خلاصة Blackcurrant  ** مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9455,Blackwood Base (Firmenich),Blackwood Base (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9305,Blue Tansy - Morocco (Robertet) **,Blue Tansy - Morocco (Robertet) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6294,Blueberry Fragrance Oil**,Blueberry Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7704,Bois d'Encense (Incense) Essence (Natural),Bois d'Encense (Incense) Essence (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7703,Bois des Landes (Woodland) Essence (Natural)**,Bois des Landes (Woodland) Essence (Natural)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8527,Boisiris® (Givaudan),Boisiris® (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
10241,Bornafix (IFF) **,Bornafix (IFF) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6018,Borneol crystals***,Borneol crystals***,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6019,Boronal (Symrise),Boronal (Symrise),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9614,Botanical Musk**,Botanical Musk**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9373,Bourgeonal (Givaudan),Bourgeonal (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8938,Brahmanol® (Symrise),Brahmanol® (Symrise),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9495,Bran Absolute,خلاصة Bran مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9397,Broom Absolute,خلاصة Broom مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6296,Brown Sugar Fragrance Oil,Brown Sugar Fragrance Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
10242,Buccoxime Crystals (Symrise) **,Buccoxime Crystals (Symrise) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6020,Butyl Butyro Lactate,Butyl Butyro Lactate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6021,Calone 1951® (Firmenich),Calone 1951® (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
